Trip_Distance_km,Passenger_Count,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Day_of_Week_Weekend,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night
19.35,3,3.56,0.8,0.32,53.82,36.2624,0,0,1,0
36.87,1,2.7,1.21,0.15,37.27,52.9032,1,1,0,0
30.33,4,3.48,0.51,0.15,116.81,36.4698,0,1,0,0
,3,2.93,0.63,0.32,22.64,15.618000000000002,0,1,0,0
8.64,2,2.55,1.71,0.48,89.33,60.2028,1,0,0,0
3.85,4,3.51,1.66,,5.05,11.2645,0,0,0,0
43.44,3,2.97,1.87,0.23,,101.1216,1,1,0,0
35.7,2,3.39,1.52,0.47,,75.5657,0,0,0,0
,4,2.4,0.58,0.43,26.34,14.892,0,0,1,0
41.79,3,4.6,1.77,0.11,86.95,88.13279999999999,1,0,0,1
11.4,3,4.12,,0.15,84.12,36.118,0,0,1,0
9.91,2,2.32,1.26,0.34,41.72,28.9914,0,1,0,0
9.99,4,4.33,0.85,0.43,34.0,27.4415,0,0,0,1
15.91,4,4.42,1.77,0.21,114.93,56.716,0,0,1,0
26.71,4,4.3,1.59,0.2,111.18,69.0049,1,0,0,0
22.17,4,2.34,1.97,0.41,57.59,69.6268,0,0,0,1
15.27,,3.93,0.73,0.12,,27.3543,0,0,1,0
30.98,1,4.5,0.84,0.25,57.02,44.7782,1,0,0,0
7.84,4,3.73,0.82,0.3,53.8,26.2988,0,0,1,0
105.94355003672597,2,3.94,1.69,0.32,23.03,201.869509186128,1,0,0,1
18.95,1,3.38,0.78,0.39,54.04,39.2366,0,0,0,1
23.35,3,3.59,0.6,0.24,66.8,33.632000000000005,0,0,0,1
39.47,1,,,0.35,7.59,83.69649999999999,0,0,0,0
10.78,3,3.92,0.54,0.33,56.07,28.2443,0,1,0,0
138.09832791310237,4,2.24,1.75,0.32,94.86,280.87730155406564,1,1,0,0
30.03,1,3.31,1.05,0.36,83.21,64.7971,0,0,0,0
3.28,2,2.88,1.76,0.2,78.04,24.260800000000003,0,1,0,0
30.77,1,3.64,1.33,0.13,109.6,58.8121,0,0,1,0
9.36,1,2.4,1.85,0.15,7.07,20.7765,0,0,0,0
47.5,,4.39,0.51,0.3,95.55,57.28,1,0,1,0
48.32,2,2.49,0.61,0.44,67.25,61.5552,0,0,1,0
40.61,1,2.31,0.88,0.38,42.25,54.1018,0,0,0,0
15.93,2,2.44,1.5,0.42,20.67,35.016400000000004,0,0,0,0
5.79,4,4.63,1.83,0.24,107.07,40.9225,0,1,0,0
34.53,3,3.58,,0.26,59.14,60.0471,0,0,1,0
22.57,1,3.4,1.41,,105.98,62.77850000000001,0,0,0,0
6.98,2,2.32,0.78,0.18,72.37,20.791,1,0,0,0
25.26,2,3.95,1.71,0.12,82.53,57.0482,0,1,0,0
2.69,4,4.6,1.95,0.34,97.49,42.9921,0,0,0,0
45.56,,,0.9,0.5,80.8,85.88400000000001,0,0,0,0
13.68,3,3.88,,0.17,50.78,29.4758,1,1,0,0
33.46,2,2.23,0.63,0.12,64.07,30.9982,1,0,0,0
16.27,1,2.34,,0.41,97.35,64.05529999999999,0,0,1,0
26.48,3,2.15,1.25,0.2,47.97,44.844,1,0,1,0
27.79,2,2.77,0.72,0.43,49.63,44.1197,0,1,0,0
