Trip_Distance_km,Passenger_Count,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Day_of_Week_Weekend,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night
19.35,3,3.56,0.8,0.32,53.82,medium,0,0,1,0
8.64,2,2.55,1.71,0.48,89.33,high,1,0,0,0
15.91,4,4.42,1.77,0.21,114.93,high,0,0,1,0
26.71,4,4.3,1.59,0.2,111.18,very high,1,0,0,0
30.98,1,4.5,0.84,0.25,57.02,medium,1,0,0,0
7.84,4,3.73,0.82,0.3,53.8,sort of low,0,0,1,0
30.03,1,3.31,1.05,0.36,83.21,high,0,0,0,0
30.77,1,3.64,1.33,0.13,109.6,high,0,0,1,0
9.36,1,2.4,1.85,0.15,7.07,Low,0,0,0,0
48.32,2,2.49,0.61,0.44,67.25,high,0,0,1,0
40.61,1,2.31,0.88,0.38,42.25,high,0,0,0,0
15.93,2,2.44,1.5,0.42,20.67,medium,0,0,0,0
6.98,2,2.32,0.78,0.18,72.37,Low,1,0,0,0
2.69,4,4.6,1.95,0.34,97.49,medium,0,0,0,0
33.46,2,2.23,0.63,0.12,64.07,sort of low,1,0,0,0
26.48,3,2.15,1.25,0.2,47.97,medium,1,0,1,0
10.06,2,2.41,1.16,0.38,16.0,Low,0,0,1,0
38.98,3,3.16,1.28,0.26,15.47,high,0,0,0,0
46.17,4,4.13,1.57,0.28,83.15,very high,0,0,0,0
3.22,3,2.83,1.63,0.31,93.78,medium,0,0,0,0
16.94,3,3.92,1.93,0.42,100.24,very high,0,0,0,0
18.48,4,2.84,1.37,0.39,106.41,very high,0,0,0,0
7.91,4,4.09,1.55,0.47,110.69,very high,0,0,1,0
40.31,4,4.18,1.34,0.12,108.49,very high,0,0,1,0
4.65,1,4.51,1.08,0.43,56.54,medium,0,0,0,0
49.36,4,4.92,1.13,0.12,36.56,high,0,0,1,0
38.84,2,4.93,1.34,0.25,50.21,very high,1,0,1,0
10.74,3,2.2,0.51,0.32,49.59,sort of low,0,0,1,0
1.27,2,4.47,0.62,0.16,37.99,Low,0,0,1,0
40.96,1,3.94,1.82,0.4,35.89,very high,1,0,1,0
38.79,2,3.95,1.88,0.33,82.93,,0,0,0,0
31.54,2,3.09,1.91,0.26,93.37,very high,0,0,1,0
17.21,2,4.48,1.61,0.1,106.78,medium,0,0,0,0
16.93,4,2.17,1.12,0.37,59.09,medium,0,0,0,0
36.75,2,3.28,1.21,0.27,105.46,very high,0,0,0,0
35.95,4,3.58,0.95,0.44,6.1,medium,1,0,0,0
28.5,1,4.92,1.78,0.46,109.33,,0,0,0,0
26.61,4,3.07,0.68,0.18,65.91,medium,0,0,1,0
21.95,3,4.05,0.88,0.1,44.99,sort of low,0,0,1,0
6.29,3,4.15,1.37,0.21,80.37,sort of low,0,0,0,0
13.22,2,3.79,0.68,0.37,51.92,sort of low,0,0,1,0
21.11,4,4.61,0.69,0.18,84.06,medium,1,0,0,0
46.56,3,4.46,0.87,0.46,119.21,very high,0,0,1,0
40.6,3,2.73,0.55,0.26,17.2,sort of low,1,0,0,0
32.04,3,3.26,0.65,0.2,31.8,sort of low,0,0,0,0
43.7,3,4.52,1.59,0.28,114.29,,0,0,0,0
