Trip_Distance_km,Passenger_Count,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Day_of_Week_Weekend,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night
19.35,3,3.56,0.8,0.32,53.82,36.2624,0,0,1,0
8.64,2,2.55,1.71,0.48,89.33,60.2028,1,0,0,0
15.91,4,4.42,1.77,0.21,114.93,56.716,0,0,1,0
26.71,4,4.3,1.59,0.2,111.18,69.0049,1,0,0,0
30.98,1,4.5,0.84,0.25,57.02,44.7782,1,0,0,0
7.84,4,3.73,0.82,0.3,53.8,26.2988,0,0,1,0
30.03,1,3.31,1.05,0.36,83.21,64.7971,0,0,0,0
30.77,1,3.64,1.33,0.13,109.6,58.8121,0,0,1,0
9.36,1,2.4,1.85,0.15,7.07,20.7765,0,0,0,0
48.32,2,2.49,0.61,0.44,67.25,61.5552,0,0,1,0
40.61,1,2.31,0.88,0.38,42.25,54.1018,0,0,0,0
15.93,2,2.44,1.5,0.42,20.67,35.016400000000004,0,0,0,0
6.98,2,2.32,0.78,0.18,72.37,20.791,1,0,0,0
2.69,4,4.6,1.95,0.34,97.49,42.9921,0,0,0,0
33.46,2,2.23,0.63,0.12,64.07,30.9982,1,0,0,0
26.48,3,2.15,1.25,0.2,47.97,44.844,1,0,1,0
10.06,2,2.41,1.16,0.38,16.0,20.1596,0,0,1,0
38.98,3,3.16,1.28,0.26,15.47,57.0766,0,0,0,0
46.17,4,4.13,1.57,0.28,83.15,99.8989,0,0,0,0
3.22,3,2.83,1.63,0.31,93.78,37.1504,0,0,0,0
16.94,3,3.92,1.93,0.42,100.24,78.715,0,0,0,0
18.48,4,2.84,1.37,0.39,106.41,69.6575,0,0,0,0
7.91,4,4.09,1.55,0.47,110.69,68.3748,0,0,1,0
40.31,4,4.18,1.34,0.12,108.49,71.2142,0,0,1,0
4.65,1,4.51,1.08,0.43,56.54,33.8442,0,0,0,0
49.36,4,4.92,1.13,0.12,36.56,65.084,0,0,1,0
38.84,2,4.93,1.34,0.25,50.21,69.52810000000001,1,0,1,0
10.74,3,2.2,0.51,0.32,49.59,23.5462,0,0,1,0
1.27,2,4.47,0.62,0.16,37.99,11.3358,0,0,1,0
40.96,1,3.94,1.82,0.4,35.89,92.8432,1,0,1,0
38.79,2,3.95,1.88,0.33,82.93,104.2421,0,0,0,0
31.54,2,3.09,1.91,0.26,93.37,87.6076,0,0,1,0
17.21,2,4.48,1.61,0.1,106.78,42.8661,0,0,0,0
16.93,4,2.17,1.12,0.37,59.09,42.9949,0,0,0,0
36.75,2,3.28,1.21,0.27,105.46,76.2217,0,0,0,0
35.95,4,3.58,0.95,0.44,6.1,40.4165,1,0,0,0
28.5,1,4.92,1.78,0.46,109.33,105.9418,0,0,0,0
26.61,4,3.07,0.68,0.18,65.91,33.0286,0,0,1,0
21.95,3,4.05,0.88,0.1,44.99,27.865,0,0,1,0
6.29,3,4.15,1.37,0.21,80.37,29.645000000000003,0,0,0,0
13.22,2,3.79,0.68,0.37,51.92,31.99,0,0,1,0
21.11,4,4.61,0.69,0.18,84.06,34.3067,1,0,0,0
46.56,3,4.46,0.87,0.46,119.21,99.8038,0,0,1,0
40.6,3,2.73,0.55,0.26,17.2,29.532000000000004,1,0,0,0
32.04,3,3.26,0.65,0.2,31.8,30.446,0,0,0,0
43.7,3,4.52,1.59,0.28,114.29,106.0042,0,0,0,0
44.74,2,3.65,1.25,0.49,6.72,62.8678,0,0,0,0
27.43,4,2.58,1.59,0.28,23.53,52.7821,1,0,1,0
12.17,4,2.15,1.73,0.31,7.35,25.4826,1,0,0,0
41.08,4,3.31,1.71,0.46,36.86,90.5124,0,0,1,0
1.34,3,3.64,1.33,0.46,37.6,22.718200000000003,1,0,0,0
26.03,2,2.27,1.55,0.4,83.98,76.20850000000002,0,0,1,0
11.88,1,3.75,0.71,0.34,30.47,22.544600000000003,0,0,0,0
6.87,2,2.56,1.5,0.23,9.0,14.935,0,0,1,0
17.54,2,2.56,1.29,0.49,52.06,50.696,0,0,1,0
16.84,2,2.17,1.01,0.12,98.03,30.942000000000004,1,0,1,0
18.82,2,2.05,0.63,0.12,74.75,22.8766,0,0,0,0
48.62,1,2.15,1.17,0.11,74.49,67.2293,1,0,0,0
48.16,1,3.72,1.63,0.28,100.12,110.2544,1,0,0,0
15.74,2,3.05,1.84,0.21,35.48,39.4624,0,0,0,0
14.96,1,3.79,0.9,0.17,66.66,28.5862,0,0,1,0
8.1,1,2.62,0.98,0.13,31.19,14.6127,1,0,0,0
24.98,3,3.06,0.77,0.42,72.14,52.5934,1,0,0,0
